male_waiting_time,female_waiting_time
55.34,44.8
172.72,50.91
58.17,87.21
65.87,199.8
112.62,119.7
166.3,117.94
92.7,144.69
87.63,187.73
100.75,184.98
145.72,79.69
63.44,69.44
11.56,13.13
95.0,20.28
46.78,126.65
105.54,19.1
81.32,90.72
66.19,12.05
149.15,99.04
133.02,30.98
40.8,126.5
95.53,67.18
69.69,113.4
186.61,116.16
12.57,69.29
103.79,21.17
168.27,168.37
33.02,138.03
81.71,178.31
121.1,197.55
141.39,162.78
123.79,63.0
14.23,88.26
56.79,28.97
86.2,121.54
190.8,194.63
148.35,35.46
162.3,161.86
54.31,18.53
178.39,197.11
15.71,123.64
138.75,24.19
17.13,16.28
4.51,151.97
138.75,196.11
159.67,194.82
8.58,119.03
119.44,175.25
177.93,8.11
125.17,170.41
26.75,50.09
73.36,90.91
120.1,153.34
117.77,83.62
97.04,27.58
72.61,9.36
155.68,82.36
129.63,16.67
22.26,87.49
84.47,176.48
136.34,95.8
105.63,119.82
45.47,126.66
61.16,74.47
100.2,119.96
194.87,9.21
88.85,77.32
24.6,11.7
23.7,82.37
152.76,5.34
93.21,191.7
142.05,186.65
71.6,142.42
170.71,57.34
99.78,13.21
199.07,72.92
107.14,138.0
26.78,44.54
182.73,41.86
116.02,65.31
89.62,127.0
19.15,87.12
101.93,180.88
70.52,91.35
94.3,134.63
75.51,133.33
73.49,103.56
102.14,187.27
80.61,139.65
54.22,6.22
10.78,182.94
194.41,49.97
41.84,123.53
171.95,28.57
11.51,170.37
157.52,128.76
103.36,97.07
114.58,166.83
198.99,58.49
149.04,90.49
168.32,137.77
96.74,87.98
3.4,69.0
136.04,24.14
63.66,143.2
174.48,161.98
16.45,156.17
30.93,55.56
30.86,139.59
1.06,107.65
58.66,13.65
79.68,46.26
143.28,38.92
138.95,68.58
132.12,174.42
4.14,38.59
69.01,109.39
92.91,52.97
165.0,82.76
160.3,45.5
156.04,154.82
137.85,124.69
32.34,80.59
39.99,125.3
6.81,124.03
77.38,55.44
127.8,51.02
96.16,139.52
152.31,107.47
70.8,68.72
166.48,98.99
180.74,57.79
117.17,155.08
84.88,61.27
26.05,1.51
193.76,18.06
113.81,6.37
12.8,178.52
22.9,15.87
123.26,40.26
185.35,47.36
79.6,92.01
172.15,85.6
147.01,141.51
133.23,12.69
132.93,56.62
194.63,96.23
195.48,159.72
62.76,152.12
120.88,7.6
179.98,84.25
151.91,177.23
6.96,99.93
128.6,73.17
182.59,156.31
177.63,166.33
7.07,44.01
46.57,24.95
195.88,32.23
157.41,132.25
176.51,38.33
128.68,62.25
166.2,63.33
33.39,128.47
9.21,28.23
130.25,152.21
9.19,106.2
152.07,113.93
124.16,42.18
79.37,54.24
176.21,57.92
18.89,54.87
174.45,12.48
19.41,163.79
24.58,67.92
139.88,16.02
41.3,77.46
30.82,24.11
178.96,159.36
149.73,45.47
95.35,16.07
45.33,179.6
35.36,129.27
92.7,43.68
73.35,173.97
3.37,172.48
165.28,99.42
68.93,96.38
53.51,139.8
20.26,169.09
143.9,96.73
53.35,190.64
78.26,118.79
191.02,16.5
168.93,158.31
88.15,5.61
19.05,147.73
193.64,96.06
190.88,108.63
198.46,42.49
23.58,62.93
189.43,170.35
125.73,124.06
58.26,132.07
45.82,74.02
71.24,72.27
141.3,12.74
162.43,168.62
98.25,176.57
45.6,127.82
145.12,112.63
3.25,73.65
184.02,28.35
161.16,108.21
74.79,161.31
30.14,171.29
183.53,77.81
130.9,133.06
139.79,195.9
1.21,188.13
196.09,179.83
120.35,21.75
9.33,122.83
98.47,188.77
44.52,14.85
168.73,101.49
37.16,133.3
33.98,97.62
196.63,25.16
77.11,144.08
17.4,78.69
109.64,97.13
176.36,56.3
22.54,149.13
162.86,132.35
186.47,86.59
124.57,112.97
86.61,96.57
172.45,56.13
63.03,8.83
197.36,57.5
115.59,30.94
99.17,26.11
179.43,152.65
41.04,168.73
90.92,159.74
135.05,37.73
31.12,111.8
190.0,189.33
94.59,92.29
150.31,144.82
68.81,65.91
171.4,144.43
47.83,66.33
123.6,83.3
36.07,43.63
163.82,21.19
101.46,114.34
44.83,128.94
74.68,105.06
143.16,69.0
20.43,67.78
46.62,158.35
161.53,39.04
23.79,112.93
143.83,176.63
47.93,55.27
51.88,171.53
160.09,110.27
139.56,76.91
134.9,31.36
192.35,93.63
98.69,195.79
44.81,114.38
43.24,162.8
132.12,85.69
158.8,147.51
31.57,52.55
65.27,56.27
142.5,2.72
110.1,175.91
123.74,166.06
93.92,178.13
74.44,40.46
169.09,146.4
68.3,76.43
185.31,35.59
25.49,93.69
78.57,107.61
124.06,18.39
27.74,173.13
16.97,39.92
170.2,17.62
177.34,54.51
41.38,117.21
141.75,137.84
90.3,117.1
108.15,197.87
60.97,129.14
60.13,113.69
189.22,6.82
24.33,192.96
103.42,34.14
167.22,49.46
90.99,198.58
192.85,66.42
178.62,81.11
18.67,37.73
22.34,188.83
3.18,115.74
36.32,43.19
41.88,30.3
72.84,148.55
19.47,37.09
128.75,134.78
114.37,177.84
104.76,89.09
47.51,56.26
36.3,167.7
79.84,25.34
68.69,11.11
70.22,61.07
141.04,38.12
75.61,68.52
42.34,192.1
80.12,139.8
197.96,31.87
127.78,197.14
6.21,165.88
196.68,171.24
40.99,100.54
25.27,194.11
73.44,22.19
69.54,168.25
168.13,26.2
147.81,69.56
2.67,107.21
98.82,104.63
62.43,180.37
64.72,73.85
79.86,136.11
69.32,89.14
90.5,13.87
159.17,111.7
156.38,109.87
190.6,54.55
110.3,35.44
166.69,52.64
9.69,99.03
28.05,41.94
103.54,26.38
2.55,15.9
156.41,36.07
195.89,140.74
199.84,8.47
154.64,94.84
109.58,24.96
88.45,143.67
53.51,175.25
50.1,55.67
133.65,142.45
76.36,53.37
102.91,20.56
77.07,141.56
183.99,46.58
111.5,92.6
31.74,138.49
8.83,189.16
101.85,76.1
13.16,136.0
187.28,138.92
191.74,86.7
121.57,156.98
163.81,97.11
120.3,49.05
95.82,195.9
176.74,11.58
127.6,38.24
66.07,156.68
89.24,61.07
16.73,118.82
63.34,198.93
118.08,76.73
64.35,98.05
152.09,193.2
28.52,162.91
124.85,25.43
176.56,11.82
33.0,37.32
98.99,113.17
12.19,102.21
31.21,91.33
23.05,163.9
8.44,67.1
61.93,27.42
11.39,192.02
79.53,47.72
99.64,149.16
87.21,52.94
166.63,147.73
51.55,32.23
168.61,181.59
182.41,72.05
43.85,155.29
98.3,145.58
21.29,140.01
194.36,179.68
129.47,62.92
193.84,65.76
97.67,128.22
100.57,120.33
125.24,175.87
117.53,132.21
115.4,118.68
44.77,13.97
172.91,121.76
142.41,98.97
133.2,14.04
120.83,137.56
140.07,129.92
185.55,149.49
134.72,126.86
71.99,84.49
110.86,176.29
117.95,56.31
21.81,68.93
18.77,48.31
150.84,154.23
193.22,37.52
177.42,177.24
85.34,96.76
127.22,138.39
167.12,184.69
180.0,129.1
13.64,92.45
153.51,151.14
73.53,172.6
46.03,47.27
89.62,17.02
182.29,124.23
114.17,132.03
47.44,172.31
91.09,77.06
84.54,83.45
148.48,94.26
173.19,87.66
188.88,168.65
150.25,107.55
117.35,12.65
144.66,82.12
80.84,50.05
117.84,116.66
63.61,133.68
120.73,44.76
10.78,60.99
83.31,30.53
101.2,150.17
40.81,122.67
4.11,119.79
53.09,87.16
194.67,116.15
123.68,132.83
158.14,47.12
197.77,192.54
181.76,126.94
109.29,139.34
92.75,90.49
152.9,103.1
98.0,39.92
166.39,135.82
131.71,19.1
129.52,75.47
135.4,135.38
196.43,6.51
172.34,145.74
54.76,77.83
184.05,128.8
194.0,10.43
40.33,26.42
181.22,199.49
21.83,36.77
101.87,136.93
192.61,151.0
199.93,190.53
86.27,47.35
162.54,188.37
27.42,102.67
197.87,102.52
99.27,26.03
78.96,10.57
129.47,146.33
71.5,169.56
5.65,131.63
133.5,181.6
181.92,124.78
20.38,131.18
112.63,108.4
74.16,3.58
182.23,177.57
47.65,183.54
49.56,87.14
17.28,26.02
32.71,149.49
49.6,54.94
34.46,142.8
130.31,46.74
119.43,8.69
70.25,169.12
68.94,178.88
192.27,68.97
71.12,118.97
126.69,161.74
17.1,84.17
1.07,188.23
76.86,74.18
189.49,171.63
3.13,146.36
54.4,79.94
38.36,104.9
112.99,144.73
48.78,53.15
192.45,82.28
86.28,51.19
105.95,130.62
74.13,156.62
189.3,160.81
189.2,195.05
33.44,33.62
79.88,149.76
136.95,79.37
143.57,53.67
13.63,39.11
32.01,106.87
38.67,112.46
96.07,143.49
191.99,5.65
164.3,148.2
87.57,102.3
90.35,118.11
5.35,127.37
162.16,130.02
32.47,25.34
75.24,108.09
87.46,68.11
96.27,162.58
71.79,1.57
133.4,170.59
72.23,93.83
193.44,65.95
80.83,42.37
129.83,131.17
42.76,93.55
92.39,69.68
123.02,179.35
12.33,168.3
172.33,154.71
116.7,15.34
117.58,151.68
44.7,118.31
148.17,137.86
189.76,97.41
137.97,48.88
111.48,24.32
110.49,188.99
145.98,34.73
93.91,35.98
117.79,109.53
163.57,72.3
61.39,11.23
133.17,120.95
36.34,10.66
175.98,181.14
174.17,87.38
23.64,18.81
66.44,59.97
118.47,57.98
6.18,59.46
139.65,21.1
126.97,145.64
22.68,72.77
157.64,152.34
112.53,66.61
22.33,178.02
14.39,29.96
9.67,13.57
23.78,194.53
97.09,23.69
75.4,54.69
86.04,86.63
116.8,110.01
77.03,116.57
38.68,51.81
123.12,35.21
111.25,167.75
73.44,53.81
18.86,60.69
196.5,60.18
10.12,39.86
75.92,185.5
8.99,156.92
168.23,56.48
168.59,129.02
20.64,61.88
154.61,171.14
146.06,121.04
74.61,124.89
7.34,199.92
168.95,76.86
137.61,49.02
139.11,181.63
152.0,186.66
174.97,130.24
6.66,161.34
170.88,163.1
110.37,45.74
123.09,92.06
91.96,100.37
161.99,70.27
120.86,198.96
126.49,71.73
105.17,45.96
70.31,121.93
8.86,119.03
131.34,60.54
24.53,115.54
21.86,57.03
148.89,82.75
4.74,178.8
124.07,63.2
183.31,77.13
149.74,57.04
64.87,192.66
176.3,36.81
148.21,104.46
165.13,100.09
89.71,195.65
9.58,106.02
147.44,191.52
55.96,156.75
116.61,197.29
47.88,114.2
173.05,13.01
38.92,162.41
19.0,73.35
195.42,36.77
160.06,180.99
45.35,8.47
4.67,65.88
37.43,155.52
199.56,1.76
190.66,185.3
155.05,158.78
94.42,67.32
105.26,101.36
171.56,128.71
143.0,114.84
106.3,96.15
101.96,104.32
44.73,183.34
110.85,167.78
139.61,28.51
45.05,51.92
130.38,124.7
45.23,157.36
117.35,166.78
61.55,113.07
22.25,197.33
142.65,85.99
112.79,161.51
18.82,53.47
12.33,40.76
29.72,115.82
90.85,124.62
89.16,18.76
77.05,162.67
84.37,10.87
88.85,92.74
120.1,154.93
177.2,167.37
141.37,45.12
180.37,128.6
127.95,95.12
6.16,134.96
88.88,185.58
72.65,135.0
173.84,180.15
197.1,187.0
181.48,41.99
181.0,54.09
3.07,87.76
92.05,110.28
171.51,10.2
187.79,147.55
116.49,190.28
98.24,144.4
7.0,155.9
71.64,160.12
127.72,69.29
134.4,89.43
35.55,81.97
137.66,104.24
77.36,93.67
195.17,15.4
146.31,118.11
70.14,193.47
16.12,10.01
98.55,98.65
45.89,2.16
88.41,28.83
29.8,61.95
84.66,193.24
67.02,81.58
45.51,98.19
120.08,22.32
121.81,188.19
121.86,60.72
123.35,4.17
168.38,84.49
86.28,20.24
54.0,16.55
108.3,54.66
36.15,40.66
187.71,94.12
75.06,33.23
75.81,129.04
90.79,12.4
160.48,62.75
75.32,49.22
85.04,57.73
110.7,109.44
36.0,68.23
56.24,1.3
82.28,110.77
153.04,41.76
164.1,183.1
6.39,145.36
161.06,64.94
32.93,177.7
80.34,92.37
14.81,6.38
199.96,142.96
127.35,152.84
89.13,84.35
46.87,134.1
120.04,107.31
164.58,88.29
128.88,168.71
68.24,104.01
39.0,122.71
148.85,70.07
2.35,14.81
37.06,129.42
192.68,137.94
73.3,149.55
156.53,193.0
68.98,184.94
78.25,63.23
4.97,119.38
90.86,5.93
179.9,137.36
15.19,156.3
96.32,180.65
105.83,190.43
157.29,138.47
157.15,123.59
