male_waiting_time,female_waiting_time
38.19,37.23
15.35,15.49
28.93,19.95
9.51,20.13
38.31,36.62
33.79,9.84
21.16,22.19
10.38,30.35
19.73,19.71
10.54,43.21
32.22,48.12
30.31,21.6
48.78,1.64
31.15,11.9
47.2,2.97
21.69,20.07
30.85,11.79
14.91,10.6
6.65,3.59
14.64,32.33
42.99,48.09
26.07,7.46
47.71,41.76
18.9,5.9
2.33,7.36
9.72,5.48
31.5,30.43
15.6,12.63
14.3,35.39
28.42,18.24
22.5,38.13
41.47,8.89
15.34,22.59
48.35,11.87
40.89,30.48
22.72,24.26
12.85,24.95
26.3,12.88
38.05,5.93
25.19,18.83
44.09,49.64
46.27,29.77
7.89,42.97
9.2,31.3
48.57,46.32
12.04,37.13
32.81,47.93
46.08,5.35
11.78,39.84
39.86,43.4
1.84,10.12
37.68,39.89
20.11,22.88
35.77,12.16
23.74,40.92
48.65,19.79
12.58,2.9
12.73,33.76
39.35,7.85
17.79,10.48
36.6,1.45
12.39,42.08
1.81,2.59
44.74,31.63
9.21,7.33
30.65,41.93
24.3,13.04
40.56,21.28
45.83,39.37
40.49,26.65
29.11,43.37
10.54,37.77
30.96,24.02
31.51,42.37
18.13,24.32
23.07,8.65
11.67,35.77
45.74,49.81
42.84,25.45
49.55,48.73
12.55,26.58
17.79,8.6
20.45,16.38
26.93,12.36
7.26,6.13
46.79,12.67
29.78,41.92
31.82,46.22
47.62,36.59
43.86,43.69
19.2,46.15
19.56,42.77
11.6,46.31
5.88,14.78
31.52,8.74
33.64,45.65
41.2,43.15
26.9,17.16
38.77,28.51
29.86,20.76
13.05,16.07
17.15,38.88
31.42,1.24
34.47,2.39
15.17,22.3
42.72,20.36
46.38,14.71
46.55,19.77
21.79,21.86
19.97,6.26
24.33,7.77
13.34,31.38
6.46,35.95
27.83,30.56
26.79,35.96
31.84,17.16
19.47,31.78
39.62,2.6
41.63,30.94
29.28,15.79
49.98,25.58
16.23,13.07
6.58,10.37
9.18,14.02
29.72,24.87
13.84,26.05
2.59,25.73
8.49,2.01
40.42,26.14
15.61,21.06
12.0,32.76
19.59,19.93
28.94,37.97
6.96,7.7
10.38,40.77
7.0,21.53
44.87,44.28
9.37,31.87
31.5,35.06
49.57,40.47
42.93,9.52
10.74,25.58
9.08,19.96
11.48,10.06
23.73,36.9
30.35,36.5
32.93,3.9
6.53,36.83
1.32,24.82
9.73,35.08
43.37,4.75
17.43,34.51
40.12,7.0
48.69,48.33
18.99,17.56
39.79,24.71
38.29,24.8
42.49,33.56
9.27,43.56
10.53,41.16
21.98,2.25
29.42,13.5
44.0,16.09
39.12,29.83
22.47,38.05
22.46,15.66
24.81,43.66
23.02,35.24
5.83,23.78
35.65,23.36
9.24,31.11
6.23,13.67
26.62,41.07
32.31,4.46
26.52,12.65
4.43,21.51
5.23,45.74
29.43,20.19
45.52,20.19
18.05,40.98
15.9,46.33
48.1,21.03
16.37,27.23
3.17,49.43
36.02,8.16
6.69,9.05
30.39,49.69
35.67,1.15
44.38,36.71
37.46,40.5
28.18,35.65
26.55,26.08
38.2,38.65
17.93,48.56
49.74,38.49
49.23,34.06
17.56,30.33
48.88,28.94
28.43,24.61
31.08,19.26
7.05,20.5
5.17,26.6
36.04,9.11
36.49,13.21
41.75,14.21
49.23,32.78
23.04,26.26
27.1,2.11
2.65,15.46
47.33,18.98
34.9,7.56
27.86,24.22
37.53,39.34
23.78,42.92
40.12,37.54
17.56,9.14
7.32,10.9
22.86,21.79
38.24,23.55
9.49,38.82
27.52,24.84
2.25,44.51
21.82,36.0
1.32,28.64
37.36,42.87
15.52,30.29
11.43,15.27
17.2,27.76
23.71,36.04
47.7,39.69
3.5,10.17
36.54,9.69
16.23,31.58
2.94,3.66
23.83,11.37
14.11,25.23
5.15,43.71
41.96,13.32
42.57,46.77
8.56,46.09
33.19,14.78
1.26,32.96
46.66,48.46
47.77,46.57
29.67,31.29
49.9,46.95
19.84,43.31
44.89,11.99
42.21,40.75
35.21,17.93
36.58,35.49
6.34,35.23
9.1,33.78
12.67,30.89
2.82,5.9
26.0,44.66
38.68,3.61
21.25,35.23
41.55,7.62
28.09,31.69
5.0,48.69
31.46,42.29
20.72,33.03
3.33,44.79
21.89,1.85
16.17,36.46
46.25,21.81
28.76,36.73
43.77,48.03
48.11,27.7
34.73,11.74
35.16,33.96
8.09,41.7
14.63,10.45
36.48,37.66
21.12,49.84
4.28,29.15
38.3,15.06
26.02,37.76
12.28,5.34
24.32,22.91
13.68,35.04
14.25,33.11
46.3,18.26
46.2,20.93
41.65,47.85
17.6,34.3
24.63,18.11
46.59,21.83
6.19,46.52
17.66,14.8
19.0,8.45
10.43,23.64
30.19,17.42
45.43,4.74
32.65,7.42
20.47,9.02
29.73,29.01
22.54,20.95
44.07,13.76
33.79,2.17
41.2,2.68
13.04,9.47
1.43,27.62
43.01,43.69
23.4,10.94
35.16,46.56
24.9,45.2
25.23,42.0
21.21,7.78
7.42,36.56
26.78,5.29
40.37,46.42
29.97,46.74
6.25,24.23
31.62,32.89
44.85,16.16
2.09,49.74
7.26,35.45
20.26,3.82
44.21,18.62
42.03,43.11
20.55,3.73
27.67,34.18
25.01,17.26
29.68,16.2
3.95,25.8
13.24,38.06
4.21,10.74
34.79,43.27
36.19,21.27
15.46,39.52
4.29,49.38
22.19,26.87
42.84,4.54
39.78,47.65
18.67,30.82
16.59,44.84
14.62,5.68
48.79,34.14
48.48,30.68
19.33,8.27
42.67,21.92
32.7,27.9
15.42,28.64
21.21,1.67
27.94,25.75
5.03,43.89
4.65,32.72
40.06,7.42
37.11,10.17
26.37,9.42
5.36,12.33
48.69,44.79
28.92,33.68
12.68,34.13
10.43,34.09
31.77,2.48
4.02,46.78
3.43,28.03
5.3,35.74
21.96,26.84
19.83,15.44
44.5,26.42
10.18,11.65
49.37,14.92
34.09,40.53
32.94,39.2
9.96,16.61
13.35,6.5
36.9,41.81
2.6,36.43
5.94,27.17
23.38,5.99
34.97,28.9
6.88,42.35
2.69,22.42
15.56,3.21
24.87,18.8
18.16,3.0
42.23,18.24
8.39,19.74
44.34,1.8
42.17,36.28
4.29,9.59
49.52,7.29
4.04,29.53
28.37,45.59
23.21,38.63
5.32,4.46
35.21,23.02
8.9,15.64
37.04,23.89
37.21,25.34
29.61,23.39
26.64,13.67
31.54,32.02
12.68,38.31
36.71,39.3
11.84,32.09
12.77,47.14
8.27,17.66
7.81,14.08
37.05,30.0
15.5,14.22
34.56,26.49
31.79,29.88
27.93,15.57
20.29,24.14
44.51,44.66
23.01,28.8
23.73,26.6
29.64,48.29
29.48,16.58
1.29,24.07
6.08,6.03
22.37,38.52
34.18,22.42
31.69,42.28
42.29,43.01
19.2,43.08
48.42,41.67
13.76,35.02
43.28,10.55
40.89,5.51
17.49,15.53
22.32,49.44
15.59,15.93
34.09,15.88
30.15,22.79
22.44,46.35
24.33,29.16
36.32,1.36
29.96,43.77
16.89,32.06
3.5,12.65
42.64,28.05
26.7,5.66
36.44,33.34
49.84,1.43
23.97,23.0
30.16,14.09
42.07,9.61
22.96,6.53
47.39,33.03
8.82,41.83
25.68,29.31
8.1,39.13
31.05,44.25
18.1,26.1
3.6,9.35
16.6,20.95
